Feature,Importance
cat__model_nissan sunny,8.440181975069354e-06
cat__model_hyundai alcazar,8.36249126231049e-06
cat__model_maruti swift,8.272558955172037e-06
cat__model_mahindra scorpio,8.218943663067472e-06
cat__model_mercedes-benz slc,8.202970119400055e-06
cat__oem_maserati,8.110865799645836e-06
cat__model_tata xenon xt,8.03929885622466e-06
cat__fuel_cng,7.824722487344469e-06
cat__oem_mitsubishi,7.612647129361523e-06
cat__model_audi tt,7.575746504093607e-06
cat__model_tata new safari,7.506419436292975e-06
cat__model_hyundai i20,7.463894775651082e-06
cat__model_renault duster,7.435160212253832e-06
cat__model_jaguar xe,7.429804778858184e-06
cat__model_mahindra xylo,7.363326067855759e-06
cat__Valve Configuration_idsi,7.1592787951773505e-06
cat__model_hyundai creta,6.98580884357435e-06
cat__model_mg hector plus,6.972814984372381e-06
cat__model_volkswagen gti,6.922798780562538e-06
cat__model_bmw x7,6.830330511462688e-06
cat__oem_isuzu,6.828519131619395e-06
cat__model_mitsubishi pajero,6.812654749187285e-06
cat__model_chevrolet enjoy,6.810033536879874e-06
cat__model_volvo xc60,6.730722312397214e-06
cat__model_mg hector,6.5010551346574945e-06
cat__oem_datsun,6.273530893347852e-06
cat__Gear Box_1 speed,6.131965654024845e-06
cat__oem_citroen,6.113596249002082e-06
cat__model_mahindra thar,6.000953617742023e-06
cat__model_land rover discovery,5.931853689636406e-06
cat__model_mercedes-benz eqc,5.892132777869415e-06
cat__oem_nissan,5.821257563859337e-06
cat__model_audi a8,5.507993597734748e-06
cat__model_isuzu d-max,5.506867111553817e-06
cat__model_volkswagen vento,5.4583376621055136e-06
cat__model_kia seltos,5.439054015607952e-06
cat__model_honda civic,5.402335659479276e-06
cat__model_ford endeavour,5.366165294148007e-06
cat__model_dc avanti,5.349382174430838e-06
cat__body_wagon,5.276706509143444e-06
cat__model_tata nexon,4.970199388417791e-06
cat__model_mercedes-benz amg a 35,4.928452295682382e-06
cat__model_audi q7,4.851662656757907e-06
cat__model_jeep wrangler,4.731968403734724e-06
cat__model_honda accord,4.696272119305109e-06
cat__model_mercedes-benz cla,4.635938070853424e-06
cat__model_hyundai elantra,4.398172937350962e-06
cat__model_maserati ghibli,4.393052192670449e-06
cat__model_kia sonet,4.391011872301883e-06
cat__body_pickup trucks,4.387786389256708e-06
cat__model_audi a3 cabriolet,4.159539157927409e-06
cat__model_toyota innova crysta,4.090883900310191e-06
cat__model_toyota corolla altis,4.056159243789945e-06
cat__model_citroen c5 aircross,4.028242770298755e-06
cat__model_mercedes-benz glc coupe,4.020677535927969e-06
cat__model_bmw 2 series,3.9495207223713295e-06
cat__model_skoda rapid,3.864215657650214e-06
cat__model_volvo v90 cross country,3.822610409612908e-06
cat__model_audi q2,3.7846229311024766e-06
cat__Steering Type_power,3.7479096714979603e-06
cat__model_volvo s 80,3.6384787405719636e-06
cat__model_fiat linea,3.6243802946739044e-06
cat__Steering Type_manual,3.508205169979161e-06
cat__model_honda cr-v,3.4914972059043363e-06
cat__model_maruti wagon r,3.4432156694976707e-06
cat__oem_dc,3.4024959064427596e-06
cat__state_pondicherry,3.347574797855577e-06
cat__model_chevrolet captiva,3.229357334789029e-06
cat__model_hyundai grand i10,3.1807883506044347e-06
cat__model_audi q8,3.1787361023439873e-06
cat__model_mini 5 door,3.1770719941327634e-06
cat__model_chevrolet trailblazer,3.0924236106854675e-06
cat__model_volkswagen polo,3.0183121206655963e-06
cat__model_mini cooper countryman,2.9231636242078013e-06
cat__model_maruti celerio,2.8763558158009302e-06
cat__model_mahindra alturas g4,2.745303164943509e-06
cat__model_mercedes-benz b class,2.617235130159486e-06
cat__model_mercedes-benz a-class limousine,2.6049831706328782e-06
cat__model_mercedes-benz gl-class,2.5435478306755147e-06
cat__state_assam,2.50099842718805e-06
cat__state_himachal pradesh,2.4961389073685185e-06
cat__model_skoda kushaq,2.3998540794321978e-06
cat__model_ford ecosport,2.332052827587789e-06
cat__fuel_lpg,2.2996929658061153e-06
cat__model_hyundai venue,2.251438444547336e-06
cat__model_kia carens,2.243867550351223e-06
cat__model_tata harrier,2.1597908183860475e-06
cat__model_mitsubishi outlander,2.139461024348507e-06
cat__model_volkswagen tiguan,2.1048995950425535e-06
cat__model_mercedes-benz a class,2.0869315365122583e-06
cat__model_honda br-v,2.0360605298307705e-06
cat__model_mercedes-benz slk-class,1.9763139749561313e-06
cat__model_volkswagen ameo,1.9660345808768714e-06
cat__model_ford aspire,1.964427075176671e-06
cat__model_volvo v40,1.933968242912868e-06
cat__model_mahindra tuv 300,1.9004404505789847e-06
cat__model_hyundai i10,1.8961905824885706e-06
cat__model_mahindra quanto,1.8796847729419873e-06
cat__state_arunachal pradesh,1.772241531897916e-06
cat__model_renault kwid,1.6862946972863604e-06
cat__model_tata indigo,1.6602644568190633e-06
cat__model_land rover discovery 4,1.6488313800546325e-06
cat__model_audi a7,1.6182683149766037e-06
cat__model_hyundai aura,1.6162265815600091e-06
cat__model_mahindra bolero,1.547713267637797e-06
cat__model_hyundai santro xing,1.542465169445698e-06
cat__Gear Box_fully automatic,1.535292567543771e-06
cat__model_datsun go,1.5222972809692277e-06
cat__model_tata nexon ev prime,1.5079509698512289e-06
cat__model_honda amaze,1.5073477750708875e-06
cat__model_honda wr-v,1.477254361665846e-06
